seed,score,real,user,sys,
0,149430,3.73,3.23,0.50,
1,149330,3.07,2.55,0.51,
2,146852,2.98,2.60,0.37,
3,143574,2.91,2.55,0.36,
4,148660,2.81,2.41,0.38,
5,140769,3.74,3.11,0.61,
6,147738,3.03,2.57,0.45,
7,147039,3.12,2.70,0.42,
8,133351,3.13,2.61,0.51,
9,155690,3.71,3.17,0.50,
