seed,score,real,user,sys,
0,803392,2.39,2.20,0.18,
1,483514,2.14,1.99,0.14,
2,526436,2.27,2.00,0.27,
3,338350,1.78,1.64,0.13,
4,426812,1.98,1.76,0.22,
5,427104,1.82,1.57,0.24,
6,596301,1.86,1.72,0.13,
7,821621,2.44,2.17,0.26,
8,498834,2.11,1.97,0.13,
9,568336,1.86,1.66,0.20,
