seed,score,real,user,sys,
0,4987,2.21,1.97,0.23,
1,98642,2.65,2.37,0.27,
2,35967,2.24,2.05,0.17,
3,47087,2.31,2.12,0.19,
4,55445,2.55,2.36,0.18,
5,46591,2.47,2.20,0.23,
6,24639,2.94,2.68,0.25,
7,140807,2.45,2.30,0.14,
8,40079,2.27,2.15,0.11,
9,7543,2.18,1.95,0.22,
