seed,score,real,user,sys,
0,1,0.08,0.04,0.03,
1,1,0.10,0.06,0.03,
2,1,0.08,0.03,0.04,
3,1,0.11,0.02,0.09,
4,1,0.09,0.03,0.05,
5,1,0.11,0.03,0.08,
6,1,0.16,0.05,0.11,
7,1,0.07,0.03,0.04,
8,1,0.08,0.03,0.04,
9,1,0.08,0.05,0.03,
