seed,score,real,user,sys,
0,552478,2.14,1.85,0.24,
1,468230,2.15,1.90,0.25,
2,446813,1.81,1.61,0.19,
3,422208,1.73,1.52,0.20,
4,323178,1.27,1.11,0.15,
5,360803,1.45,1.27,0.17,
6,424158,2.15,1.83,0.32,
7,324210,1.68,1.52,0.16,
8,286731,1.59,1.37,0.22,
9,301705,2.64,2.17,0.46,
