seed,score,real,user,sys,
0,163836,0.52,0.35,0.16,
1,165509,0.59,0.40,0.18,
2,159118,0.51,0.41,0.09,
3,158737,0.55,0.44,0.11,
4,164581,0.45,0.27,0.17,
5,153941,0.51,0.41,0.09,
6,155678,0.62,0.49,0.13,
7,160810,0.51,0.34,0.17,
8,161830,0.56,0.44,0.12,
9,165346,0.94,0.71,0.23,
