parameter,0,1,2,3,4,5,6,7,8,9,min,avg,max,σ,μ-σ,μ+σ,
977,803392,483514,526436,338350,426812,427104,596301,821621,498834,568336,338350.00,549070.00,821621.00,327555.43,494065.57,1149176.43,
978,803392,483514,526436,338350,426812,427104,596301,821621,498834,568336,338350.00,549070.00,821621.00,327555.43,494065.57,1149176.43,
979,803392,483514,526436,338350,426812,427104,596301,821621,498834,568336,338350.00,549070.00,821621.00,327555.43,494065.57,1149176.43,
980,803392,483514,526436,338350,426812,427104,596301,821621,498834,568336,338350.00,549070.00,821621.00,327555.43,494065.57,1149176.43,
981,803392,483514,526436,338350,426812,427104,596301,821621,498834,568336,338350.00,549070.00,821621.00,327555.43,494065.57,1149176.43,
982,803392,483514,526436,338350,426812,427104,596301,821621,498834,568336,338350.00,549070.00,821621.00,327555.43,494065.57,1149176.43,
983,803392,483514,526436,338350,426812,427104,596301,821621,498834,568336,338350.00,549070.00,821621.00,327555.43,494065.57,1149176.43,
984,803392,483514,526436,338350,426812,427104,596301,821621,498834,568336,338350.00,549070.00,821621.00,327555.43,494065.57,1149176.43,
985,803392,483514,526436,338350,426812,427104,596301,821621,498834,568336,338350.00,549070.00,821621.00,327555.43,494065.57,1149176.43,
986,803392,483514,526436,338350,426812,427104,596301,821621,498834,568336,338350.00,549070.00,821621.00,327555.43,494065.57,1149176.43,
987,803392,483514,526436,338350,426812,427104,596301,821621,498834,568336,338350.00,549070.00,821621.00,327555.43,494065.57,1149176.43,
988,803392,483514,526436,338350,426812,427104,596301,821621,498834,568336,338350.00,549070.00,821621.00,327555.43,494065.57,1149176.43,
989,803392,483514,526436,338350,426812,427104,596301,821621,498834,568336,338350.00,549070.00,821621.00,327555.43,494065.57,1149176.43,
990,803392,483514,526436,338350,426812,427104,596301,821621,498834,568336,338350.00,549070.00,821621.00,327555.43,494065.57,1149176.43,
991,803392,483514,526436,338350,426812,427104,596301,821621,498834,568336,338350.00,549070.00,821621.00,327555.43,494065.57,1149176.43,
992,803392,483514,526436,338350,426812,427104,596301,821621,498834,568336,338350.00,549070.00,821621.00,327555.43,494065.57,1149176.43,
993,803392,483514,526436,338350,426812,427104,596301,821621,498834,568336,338350.00,549070.00,821621.00,327555.43,494065.57,1149176.43,
994,803392,483514,526436,338350,426812,427104,596301,821621,498834,568336,338350.00,549070.00,821621.00,327555.43,494065.57,1149176.43,
995,803392,483514,526436,338350,426812,427104,596301,821621,498834,568336,338350.00,549070.00,821621.00,327555.43,494065.57,1149176.43,
996,803392,483514,526436,338350,426812,427104,596301,821621,498834,568336,338350.00,549070.00,821621.00,327555.43,494065.57,1149176.43,
997,803392,483514,526436,338350,426812,427104,596301,821621,498834,568336,338350.00,549070.00,821621.00,327555.43,494065.57,1149176.43,
998,803392,483514,526436,338350,426812,427104,596301,821621,498834,568336,338350.00,549070.00,821621.00,327555.43,494065.57,1149176.43,
999,803392,483514,526436,338350,426812,427104,596301,821621,498834,568336,338350.00,549070.00,821621.00,327555.43,494065.57,1149176.43,
1000,803392,483514,526436,338350,426812,427104,596301,821621,498834,568336,338350.00,549070.00,821621.00,327555.43,494065.57,1149176.43,
