parameter,0,1,2,3,4,5,6,7,8,9,min,avg,max,σ,μ-σ,μ+σ,
851,803393,468663,526540,338357,426822,427107,607627,821618,498833,568339,338357.00,548729.90,821618.00,328434.81,493183.19,1150052.81,
852,803393,468663,526539,338357,426821,427104,607627,821619,498833,568336,338357.00,548729.20,821619.00,328436.62,493182.38,1150055.62,
853,803391,468666,526542,338358,426821,427104,607628,821619,498833,568338,338358.00,548730.00,821619.00,328435.55,493183.45,1150054.55,
854,800990,468665,526537,338359,426819,427103,607629,821622,498835,568338,338359.00,548489.70,821622.00,328438.87,493183.13,1150060.87,
855,803393,468667,526537,338359,426817,427103,607628,821619,498834,568354,338359.00,548731.10,821619.00,328434.96,493184.04,1150053.96,
856,800990,468668,526535,338359,426817,427103,607628,821616,498836,568336,338359.00,548488.80,821616.00,328433.61,493182.39,1150049.61,
857,800991,468664,526535,338358,426816,427104,607628,821615,498833,568336,338358.00,548488.00,821615.00,328433.66,493181.34,1150048.66,
858,800992,468664,526436,338357,426817,427103,607629,821616,498835,568338,338357.00,548478.70,821616.00,328444.16,493171.84,1150060.16,
859,800991,468664,526435,338358,426813,427101,607630,821614,498831,568338,338358.00,548477.50,821614.00,328443.43,493170.57,1150057.43,
860,800991,468666,526435,338357,426815,427101,607627,821617,498827,568335,338357.00,548477.10,821617.00,328446.75,493170.25,1150063.75,
861,800992,468667,526536,338357,426814,427107,607623,821618,498826,568343,338357.00,548488.30,821618.00,328436.51,493181.49,1150054.51,
862,803065,468667,526435,338357,426812,427106,607632,821618,498828,568333,338357.00,548685.30,821618.00,328446.98,493171.02,1150064.98,
863,800992,468670,526434,338354,426809,427108,607634,821618,498828,568343,338354.00,548479.00,821618.00,328446.35,493171.65,1150064.35,
864,800991,468670,526432,338356,426810,427108,607633,821618,498829,568342,338356.00,548478.90,821618.00,328446.14,493171.86,1150064.14,
865,803065,468668,526435,338355,426809,427108,607634,821617,498829,568334,338355.00,548685.40,821617.00,328446.07,493170.93,1150063.07,
866,803066,468663,526436,338353,426810,427106,607634,821618,498830,568335,338353.00,548685.10,821618.00,328447.75,493170.25,1150065.75,
867,803067,468667,526536,338356,426811,427107,607635,821619,498830,568335,338356.00,548696.30,821619.00,328437.37,493181.63,1150056.37,
868,803067,468663,526537,338356,426810,427107,607635,821615,498827,568335,338356.00,548695.20,821615.00,328434.54,493180.46,1150049.54,
869,803065,468662,526535,338355,426809,427107,607635,821617,498827,568333,338355.00,548694.50,821617.00,328437.16,493179.84,1150054.16,
870,800992,468660,526538,338354,426809,427109,607636,821619,498829,568333,338354.00,548487.90,821619.00,328438.54,493180.46,1150057.54,
871,803066,468664,526538,338356,426812,427108,607638,821619,498828,568333,338356.00,548696.20,821619.00,328437.44,493181.56,1150056.44,
872,800991,468664,526538,338354,426815,427108,596300,821618,498826,568334,338354.00,547354.80,821618.00,329278.00,492340.00,1150896.00,
873,803392,468660,526539,338353,426813,427108,596302,821619,498825,568335,338353.00,547594.60,821619.00,329279.60,492339.40,1150898.60,
874,803390,468666,526538,338352,426813,427108,596301,821618,498825,568336,338352.00,547594.70,821618.00,329278.22,492339.78,1150896.22,
875,803390,468661,526436,338351,426813,427109,607637,821616,498829,568334,338351.00,548717.60,821616.00,328445.66,493170.34,1150061.66,
876,803389,468661,526436,338351,426810,427108,607636,821614,498830,568333,338351.00,548716.80,821614.00,328444.40,493169.60,1150058.40,
877,803390,468662,526535,338350,426809,427108,607636,821616,498827,568336,338350.00,548726.90,821616.00,328436.60,493179.40,1150052.60,
878,803389,468663,526535,338351,426808,427107,607638,821617,498826,568337,338351.00,548727.10,821617.00,328437.38,493179.62,1150054.38,
879,803391,468665,526436,338352,426808,427107,607638,821616,498826,568339,338352.00,548717.80,821616.00,328445.78,493170.22,1150061.78,
880,803387,468663,526436,338352,426808,427108,607637,821617,498826,568339,338352.00,548717.30,821617.00,328446.87,493170.13,1150063.87,
881,803389,468664,526434,338352,426808,427111,607637,821615,498826,568337,338352.00,548717.30,821615.00,328444.89,493170.11,1150059.89,
882,803391,468660,526435,338352,426808,427111,596300,821614,498825,568337,338352.00,547583.30,821614.00,329285.78,492328.22,1150899.78,
883,803388,468662,526435,338352,426809,427112,596300,821617,498825,568336,338352.00,547583.60,821617.00,329288.11,492328.89,1150905.11,
884,803388,468661,526535,338352,426807,427112,596300,821615,498825,568336,338352.00,547593.10,821615.00,329276.70,492338.30,1150891.70,
885,803391,483514,526436,338352,426811,427111,607637,821617,498828,568336,338352.00,550203.30,821617.00,326705.56,494911.44,1148322.56,
886,803065,483515,526434,338353,426808,427110,607637,821619,498831,568337,338353.00,550170.90,821619.00,326707.44,494911.56,1148326.44,
887,803393,483515,526435,338353,426812,427110,596300,821619,498831,568337,338353.00,549070.50,821619.00,327552.60,494066.40,1149171.60,
888,800990,483514,526433,338351,426810,427109,596300,821621,498831,568338,338351.00,548829.70,821621.00,327555.40,494065.60,1149176.40,
889,803393,483516,526435,338351,426810,427108,607638,821619,498833,568339,338351.00,550204.20,821619.00,326707.09,494911.91,1148326.09,
890,803392,483516,526435,338352,426810,427112,596300,821619,498830,568353,338352.00,549071.90,821619.00,327551.39,494067.61,1149170.39,
891,803393,483515,526436,338354,426811,427109,596301,821619,498833,568338,338354.00,549070.90,821619.00,327552.23,494066.77,1149171.23,
892,803392,483516,526535,338354,426807,427109,607637,821620,498831,568334,338354.00,550213.50,821620.00,326698.47,494921.53,1148318.47,
893,803393,483517,526536,338354,426806,427109,607637,821621,498832,568334,338354.00,550213.90,821621.00,326699.19,494921.81,1148320.19,
894,803393,483518,526536,338354,426810,427112,607638,821620,498830,568335,338354.00,550214.60,821620.00,326697.28,494922.72,1148317.28,
895,800990,483518,526536,338354,426809,427109,607637,821621,498831,568334,338354.00,549973.90,821621.00,326698.78,494922.22,1148319.78,
896,800990,483517,526536,338354,426810,427108,607636,821622,498831,568335,338354.00,549973.90,821622.00,326699.80,494922.20,1148321.80,
897,803393,483518,526537,338354,426809,427108,607635,821622,498831,568334,338354.00,550214.10,821622.00,326699.88,494922.12,1148321.88,
898,803392,483516,526537,338353,426808,427109,607636,821622,498829,568333,338353.00,550213.50,821622.00,326700.51,494921.49,1148322.51,
899,803392,483518,526537,338353,426810,427108,607638,821623,498831,568333,338353.00,550214.30,821623.00,326700.70,494922.30,1148323.70,
900,803393,483518,526537,338353,426812,427109,607637,821621,498830,568335,338353.00,550214.50,821621.00,326698.47,494922.53,1148319.47,
901,803393,483519,526537,338353,426811,427109,607638,821621,498830,568335,338353.00,550214.60,821621.00,326698.42,494922.58,1148319.42,
902,803393,483519,526535,338353,426810,427109,607637,821616,498828,568336,338353.00,550213.60,821616.00,326694.37,494921.63,1148310.37,
903,800990,483517,526436,338351,426810,427109,607638,821621,498833,568335,338351.00,549964.00,821621.00,326708.92,494912.08,1148329.92,
904,803393,483516,526535,338350,426811,427108,607637,821621,498831,568335,338350.00,550213.70,821621.00,326699.55,494921.45,1148320.55,
905,800990,483517,526535,338350,426812,427109,607635,821621,498831,568335,338350.00,549973.50,821621.00,326699.31,494921.69,1148320.31,
906,803393,483520,526536,338350,426813,427108,607636,821616,498831,568334,338350.00,550213.70,821616.00,326694.30,494921.70,1148310.30,
907,800990,483519,526537,338350,426812,427108,607635,821616,498830,568334,338350.00,549973.10,821616.00,326694.63,494921.37,1148310.63,
908,803393,483518,526537,338351,426813,427106,607636,821616,498832,568336,338351.00,550213.80,821616.00,326694.25,494921.75,1148310.25,
909,803393,483518,526537,338351,426813,427105,607636,821618,498831,568334,338351.00,550213.60,821618.00,326696.50,494921.50,1148314.50,
910,800990,483517,526537,338351,426812,427105,607636,821618,498831,568334,338351.00,549973.10,821618.00,326696.75,494921.25,1148314.75,
911,803393,483518,526535,338352,426812,427106,607636,821619,498829,568335,338352.00,550213.50,821619.00,326697.59,494921.41,1148316.59,
912,803393,483517,526535,338353,426816,427106,607637,821616,498828,568334,338353.00,550213.50,821616.00,326694.37,494921.63,1148310.37,
913,803393,483516,526436,338350,426814,427104,607636,821618,498827,568335,338350.00,550202.90,821618.00,326707.38,494910.62,1148325.38,
