seed,score,real,user,sys,
0,800990,2.40,2.15,0.25,
1,468686,1.97,1.81,0.15,
2,526432,2.49,2.29,0.19,
3,338355,1.93,1.78,0.15,
4,426836,1.93,1.79,0.14,
5,427108,2.02,1.79,0.23,
6,578250,1.91,1.76,0.15,
7,821612,2.17,2.03,0.13,
8,498823,2.21,1.97,0.16,
9,568334,1.89,1.72,0.17,
