seed,score,real,user,sys,
0,281154,3.69,3.52,0.17,
1,400432,6.26,5.90,0.36,
2,255633,2.93,2.76,0.16,
3,217400,5.30,5.07,0.23,
4,383109,7.83,7.45,0.37,
5,367230,6.16,5.89,0.27,
6,518877,4.68,4.47,0.21,
7,473785,6.22,6.04,0.17,
8,428552,6.00,5.87,0.13,
9,513560,6.63,6.48,0.14,
