seed,score,real,user,sys,
0,870656299,1.37,1.29,0.15,
1,836019600,1.42,1.37,0.12,
2,870447031,1.52,1.39,0.20,
3,872794893,1.38,1.31,0.13,
4,879949099,1.74,1.57,0.25,
5,827387039,1.35,1.25,0.15,
6,772530269,1.42,1.31,0.17,
7,866392560,1.46,1.37,0.15,
8,762517648,1.48,1.40,0.15,
9,865857934,1.44,1.35,0.14,
10,745460688,1.43,1.36,0.14,
11,823691545,1.40,1.34,0.12,
12,805879222,1.39,1.32,0.13,
13,883318109,1.40,1.36,0.10,
14,862673417,1.36,1.30,0.12,
15,895315848,1.36,1.29,0.13,
16,818136797,1.41,1.31,0.16,
17,878171317,1.38,1.29,0.14,
18,805544599,1.40,1.32,0.14,
19,910614499,1.40,1.31,0.14,
20,783209802,1.41,1.26,0.20,
21,850152963,1.36,1.30,0.12,
22,850667898,1.49,1.39,0.16,
23,814374779,1.40,1.37,0.09,
24,872581556,1.49,1.39,0.16,
25,844332159,1.41,1.31,0.15,
26,902786936,1.44,1.40,0.10,
27,814843321,1.41,1.33,0.14,
28,913230571,1.37,1.32,0.09,
29,898939621,1.44,1.39,0.12,
30,872918998,1.41,1.33,0.14,
31,803159616,1.41,1.36,0.10,
32,848473272,1.49,1.45,0.10,
33,830589249,1.49,1.40,0.16,
34,857908282,1.32,1.26,0.11,
35,773669210,1.41,1.35,0.12,
36,814119171,1.46,1.36,0.17,
37,866973605,1.41,1.38,0.08,
38,812727073,1.40,1.33,0.13,
39,836890002,1.48,1.41,0.14,
40,899460230,1.37,1.35,0.08,
41,819659571,1.38,1.27,0.17,
42,858408114,1.42,1.36,0.11,
43,833240329,1.40,1.29,0.18,
44,863891492,1.45,1.35,0.16,
45,873282955,1.44,1.37,0.12,
46,801088905,1.46,1.42,0.10,
47,874481304,1.45,1.39,0.13,
48,842884176,1.50,1.37,0.19,
49,827979831,1.52,1.38,0.20,
50,756939157,1.37,1.27,0.16,
51,829383526,1.41,1.41,0.06,
52,859145268,1.39,1.31,0.14,
53,842358547,1.37,1.30,0.13,
54,840700575,1.36,1.31,0.12,
55,841581346,1.41,1.34,0.13,
56,880108935,1.60,1.46,0.19,
57,868976788,1.43,1.37,0.13,
58,886312195,1.39,1.35,0.10,
59,837772720,1.40,1.28,0.18,
60,856571844,1.45,1.36,0.15,
61,821002252,1.36,1.28,0.14,
62,883980154,1.40,1.34,0.12,
63,831464105,1.32,1.26,0.12,
64,882710278,1.33,1.23,0.16,
65,851946758,1.55,1.44,0.16,
66,873232697,1.48,1.43,0.10,
67,804635837,1.39,1.34,0.10,
68,852157717,1.37,1.23,0.19,
69,803291768,1.59,1.46,0.19,
70,863470675,1.35,1.30,0.12,
71,872820454,1.38,1.33,0.11,
72,838894116,1.43,1.40,0.10,
73,833183410,1.36,1.32,0.09,
74,825182502,1.54,1.37,0.24,
75,868260725,1.38,1.28,0.15,
76,891978585,1.38,1.32,0.12,
77,707310431,1.37,1.30,0.12,
78,853806614,1.46,1.37,0.16,
79,794094090,1.36,1.28,0.14,
80,778740215,1.40,1.32,0.14,
81,887672366,1.40,1.37,0.09,
82,867910628,1.39,1.30,0.14,
83,847723911,1.42,1.31,0.16,
84,845536771,2.21,1.79,0.46,
85,893059838,1.36,1.32,0.10,
86,883545724,1.45,1.33,0.18,
87,862310651,1.40,1.36,0.10,
88,878272320,1.36,1.27,0.15,
89,856609610,1.43,1.38,0.12,
90,862232811,1.38,1.29,0.15,
91,853219524,1.43,1.30,0.19,
92,891296847,1.43,1.36,0.13,
93,807220332,1.45,1.32,0.19,
94,889814692,1.43,1.35,0.15,
95,864344062,1.47,1.44,0.10,
96,818612595,1.44,1.36,0.12,
97,845443680,1.42,1.36,0.11,
98,780029984,1.40,1.38,0.08,
99,817161866,1.41,1.35,0.11,
