seed,score,real,user,sys,
0,841147408,1.42,1.40,0.08,
1,847653364,1.43,1.36,0.13,
2,829570167,1.40,1.33,0.12,
3,841284701,1.40,1.32,0.15,
4,831974985,1.42,1.31,0.17,
5,864207885,1.40,1.34,0.11,
6,770311557,1.40,1.33,0.13,
7,846787238,1.44,1.32,0.19,
8,854424051,1.46,1.34,0.18,
9,846627608,1.42,1.37,0.12,
10,816894023,1.41,1.35,0.13,
11,853668720,1.78,1.63,0.21,
12,783431168,1.42,1.34,0.14,
13,889947438,1.36,1.28,0.13,
14,864759044,1.42,1.35,0.13,
15,887489730,1.63,1.50,0.21,
16,791830175,1.42,1.32,0.15,
17,891582033,1.39,1.32,0.12,
18,771661846,1.45,1.33,0.17,
19,882267992,1.38,1.29,0.14,
20,746764641,1.42,1.35,0.13,
21,845873020,1.39,1.30,0.16,
22,832101949,1.40,1.34,0.12,
23,836827631,1.41,1.34,0.13,
24,877622125,1.39,1.28,0.16,
25,836709032,1.38,1.29,0.15,
26,853063887,1.40,1.29,0.17,
27,773796558,1.42,1.33,0.15,
28,880881316,1.43,1.39,0.10,
29,870428650,1.42,1.32,0.15,
30,860238292,1.39,1.30,0.16,
31,791907145,1.42,1.36,0.12,
32,895485999,1.41,1.32,0.13,
33,778968441,1.46,1.41,0.12,
34,839588228,1.41,1.36,0.11,
35,766611424,1.43,1.39,0.10,
36,834848173,1.40,1.29,0.16,
37,854373135,1.42,1.37,0.12,
38,803904252,1.47,1.37,0.15,
39,777492351,1.40,1.32,0.13,
40,908076747,1.37,1.29,0.14,
41,779044124,1.44,1.34,0.16,
42,846340843,1.45,1.37,0.11,
43,820271893,1.44,1.36,0.13,
44,862986688,1.45,1.37,0.15,
45,823889220,1.43,1.33,0.16,
46,809288544,1.43,1.33,0.17,
47,850777565,1.38,1.33,0.11,
48,854643820,1.61,1.51,0.18,
49,842745209,1.42,1.35,0.12,
50,795328355,1.43,1.32,0.17,
51,723158710,1.58,1.48,0.15,
52,853261869,1.37,1.33,0.10,
53,840607844,1.44,1.32,0.17,
54,826966191,1.38,1.30,0.13,
55,868852100,1.41,1.32,0.15,
56,871612411,1.43,1.36,0.13,
57,863347930,1.40,1.32,0.15,
58,874031434,1.42,1.30,0.18,
59,858722888,1.40,1.37,0.09,
60,845771082,1.40,1.32,0.13,
61,822610760,1.41,1.36,0.11,
62,792109221,1.43,1.35,0.14,
63,864057009,1.44,1.40,0.11,
64,884132176,1.76,1.61,0.22,
65,744120586,1.41,1.32,0.14,
66,843446290,1.46,1.46,0.06,
67,841565319,1.39,1.29,0.16,
68,898386538,1.44,1.33,0.17,
69,830801221,1.41,1.36,0.11,
70,863666158,1.43,1.38,0.10,
71,874834473,1.38,1.30,0.15,
72,858892548,1.41,1.34,0.14,
73,828450866,1.49,1.26,0.23,
74,723686333,1.39,1.32,0.13,
75,862983656,1.41,1.33,0.13,
76,851870295,1.45,1.38,0.13,
77,771900855,1.46,1.39,0.14,
78,840279178,1.38,1.38,0.06,
79,793033374,1.42,1.34,0.14,
80,763845832,1.38,1.33,0.11,
81,902464811,1.43,1.40,0.09,
82,808045214,1.44,1.40,0.11,
83,840576912,1.39,1.32,0.14,
84,858763743,1.41,1.37,0.11,
85,877189148,1.59,1.50,0.16,
86,815453258,1.45,1.36,0.15,
87,814631901,1.41,1.30,0.15,
88,878388953,1.44,1.31,0.17,
89,880266689,1.40,1.33,0.15,
90,869210070,1.41,1.33,0.14,
91,772000679,1.45,1.39,0.11,
92,896311499,1.43,1.30,0.20,
93,823145637,1.44,1.40,0.10,
94,857003017,1.37,1.29,0.14,
95,893385041,1.43,1.41,0.09,
96,753284306,1.49,1.38,0.18,
97,875714737,1.42,1.39,0.09,
98,841884839,1.43,1.37,0.12,
99,857180762,1.45,1.38,0.12,
