seed,score,real,user,sys,
0,862631138,1.67,1.51,0.23,
1,794122945,1.40,1.31,0.15,
2,852927992,1.43,1.37,0.12,
3,896978236,1.41,1.34,0.13,
4,857756494,1.58,1.44,0.20,
5,844527218,1.40,1.30,0.16,
6,756243029,1.40,1.32,0.13,
7,832574018,1.41,1.31,0.16,
8,813462161,1.47,1.37,0.16,
9,823630585,2.34,2.08,0.32,
10,848842706,1.45,1.41,0.10,
11,839938081,1.44,1.40,0.11,
12,769070840,1.42,1.34,0.13,
13,851278022,1.35,1.27,0.14,
14,878415945,1.39,1.29,0.15,
15,903051684,1.38,1.34,0.10,
16,814863225,1.60,1.42,0.25,
17,850140806,1.43,1.37,0.12,
18,805830087,2.51,2.20,0.40,
19,873799264,1.40,1.25,0.20,
20,733516930,1.43,1.35,0.14,
21,865726893,1.56,1.44,0.19,
22,822939527,1.44,1.35,0.14,
23,848840980,1.62,1.54,0.14,
24,892330375,1.40,1.28,0.18,
25,835328807,1.44,1.37,0.14,
26,886920070,1.39,1.34,0.11,
27,806160078,1.37,1.30,0.13,
28,892869440,1.41,1.33,0.14,
29,843711005,1.98,1.78,0.27,
30,872497967,1.41,1.37,0.11,
31,812823000,1.43,1.36,0.13,
32,866789991,1.44,1.41,0.08,
33,762293532,1.45,1.35,0.15,
34,859689634,1.40,1.32,0.14,
35,811673809,1.57,1.48,0.15,
36,837898470,1.77,1.61,0.20,
37,855423554,1.46,1.42,0.10,
38,853053871,1.40,1.29,0.17,
39,857906095,1.71,1.55,0.19,
40,893601976,1.40,1.24,0.22,
41,791814199,1.88,1.63,0.33,
42,876710909,1.41,1.33,0.14,
43,861022934,1.71,1.52,0.24,
44,871886199,1.40,1.32,0.14,
45,868273286,1.59,1.48,0.16,
46,803994811,1.62,1.50,0.18,
47,858411800,1.39,1.31,0.14,
48,827733147,1.41,1.35,0.12,
49,839182394,2.06,1.84,0.27,
50,788561214,1.38,1.25,0.19,
51,848520908,1.62,1.37,0.29,
52,866099414,1.50,1.41,0.14,
53,829060973,1.40,1.30,0.15,
54,855907719,1.63,1.54,0.17,
55,865090709,1.42,1.35,0.14,
56,853284221,1.40,1.34,0.13,
57,860355990,1.49,1.32,0.22,
58,889093299,1.45,1.30,0.21,
59,805345592,1.38,1.37,0.07,
60,865660744,1.38,1.27,0.18,
61,879383381,1.52,1.39,0.20,
62,839160477,1.40,1.35,0.12,
63,868315425,1.90,1.73,0.24,
64,887728135,1.38,1.33,0.11,
65,865130131,1.39,1.34,0.11,
66,826389100,2.13,1.76,0.45,
67,821323228,1.58,1.35,0.29,
68,873840667,1.40,1.34,0.12,
69,836639513,1.39,1.34,0.10,
70,868572275,1.36,1.36,0.06,
71,890224326,1.64,1.50,0.20,
72,847752498,1.44,1.42,0.08,
73,820881496,1.37,1.25,0.18,
74,780786638,1.44,1.37,0.13,
75,850379314,1.40,1.37,0.10,
76,866274932,1.44,1.36,0.14,
77,790564139,1.44,1.36,0.14,
78,887105390,1.46,1.34,0.18,
79,839268454,1.45,1.35,0.15,
80,860380673,1.48,1.38,0.15,
81,906061535,1.51,1.43,0.15,
82,856018591,1.43,1.33,0.17,
83,857492207,1.42,1.38,0.10,
84,858882840,1.94,1.69,0.35,
85,889455289,1.37,1.27,0.16,
86,817491861,1.40,1.31,0.15,
87,876619034,1.42,1.35,0.14,
88,836334533,1.40,1.33,0.13,
89,863886761,1.42,1.30,0.17,
90,849008115,1.39,1.28,0.17,
91,830814671,1.58,1.46,0.16,
92,872333670,1.40,1.30,0.17,
93,730096760,1.46,1.28,0.25,
94,872307802,1.55,1.41,0.21,
95,873090740,1.41,1.32,0.15,
96,794562963,1.42,1.35,0.13,
97,872951875,1.40,1.31,0.15,
98,814526381,1.41,1.37,0.10,
99,857945448,1.43,1.33,0.16,
